label,class
location amenity,LocationAmenity
lodging amenity,LocationAmenity
accommodation amenity,LocationAmenity
amenity area,AmenityArea
common area,CommonArea
restaurant,Restaurant
restaurant pizzeria,Restaurant
golfcourse,GolfCourse
golf course,GolfCourse
golf courses,GolfCourse
library,Library
public toilet,PublicToilet
public bath,PublicToilet
playground,Playground
children's playground,Playground
indoor play area,Playground
parkingfacility,ParkingFacility
parking facility,ParkingFacility
parking,ParkingFacility
paid street parking off premises,ParkingFacility
paid parking on premises,ParkingFacility
paid parking garage off premises,ParkingFacility
free parking on premises,ParkingFacility
car park,ParkingFacility
parking place,ParkingFacility
parking space,ParkingFacility
parking garage,ParkingGarage
secured parking,SecuredParking
secure parking,SecuredParking
street parking,StreetParking
free street parking,StreetParking
accessible parking,AccessibleParking
paid parking off premises,PaidParkingOffPremises
dayspa,DaySpa
day spa,DaySpa
spa center,DaySpa
spa facilities,DaySpa
spa and wellness centre,DaySpa
spa lounge/relaxation area,SpaLoungeRelaxationArea
beautysalon,BeautySalon
beauty salon,BeautySalon
hair/beauty salon,BeautySalon
barber/beauty shop,BeautySalon
casino,Casino
jacuzzi,HotTub
hydromassage jacuzzi,HotTub
gym,Gym
gym in building,Gym
turkish bath,TurkishBath
hammam,TurkishBath
turkish/steam bath,TurkishBath
sauna,Sauna
wellnesscentre,Sauna
ballroom,Ballroom
hall,Hallway
hallway,Hallway
tobacco shop,TobaccoShop
luggage room,LuggageRoom
luggage dropoff allowed - for guests' convenience when they have early arrival or late departure,LuggageRoom
baggage storage,LuggageRoom
luggage storage,LuggageRoom
wi-fi zone,Wi-FiZone
wifi – 1000 mbps - available throughout the listing,Wi-FiZone
wifi - available throughout the listing,Wi-FiZone
pocket wifi,Wi-FiZone
wireless internet,Wi-FiZone
paid wifi,Wi-FiZone
wifi,Wi-FiZone
game room,GameRoom
games room,GameRoom
laundry,Laundry
stair,Stair
disco,Disco
square,Square
tennis square,TennisSquare
tennis court,TennisSquare
soccer square,SoccerSquare
mini golf,MiniGolf
squash,Squash
racquetball,Racquetball
conference room,ConferenceRoom
smoking area,SmokingArea
reading lounge,ReadingLounge
pool bar,PoolBar
garden,Garden
fitness center,FitnessCenter
business center,BusinessCenter
chapel shrine,ChapelShrine
on-site coffee house,On-SiteCoffeeHouse
snack bar,SnackBar
executive lounge access,ExecutiveLoungeAccess
gift shop,GiftShop
designated smoking area,DesignatedSmokingArea
vip room facilities,VipRoomFacilities
sitting area,SittingArea
seating area,SittingArea
changing room,ChangingRoom
dressing room,ChangingRoom
locker room,ChangingRoom
swimming pool,SwimmingPool
pool,SwimmingPool
private pool,PrivatePool
cuisine,Kitchen
kitchen,Kitchen
space where guests can cook their own meals,Kitchen
kitchenette,Kitchenette
shared kitchen,SharedKitchen
balcony,Terrace
terrace,Terrace
shared patio or balcony,Terrace
patio or balcony,Terrace
sun terrace,Terrace
view terrace,Terrace
patio,Terrace
roof terrace,RoofTerrace
veranda,Veranda
barbecue,Barbecue
bbq grill,Barbecue
bbq facilities,Barbecue
living room,LivingRoom
private living room,LivingRoom
dining area,DiningArea
dining room,DiningRoom
living area,LivingArea
shared lounge/tv area,LivingArea
locker rooms,LockerRooms
fitness/spa locker rooms,LockerRooms
vending machine (snacks),VendingMachineSnacks
vending machine (drinks),VendingMachineDrinks
lift,Lift
elevator,Lift
private entrance,PrivateEntrance
private entrance - separate street or building entrance,PrivateEntrance
view,View
garden view,GardenView
inner courtyard view,InnerCourtyardView
landmark view,LandmarkView
outdoor fireplace,OutdoorFireplace
picnic area,PicnicArea
outdoor dining area,OutdoorDiningArea
electric vehicle charging station,ElectricVehicleChargingStation
lockers,Lockers
meeting/banquet facilities,MeetingBanquetFacilities
atm on site,AtmOnSite
atm/cash machine on site,AtmOnSite
internet facilities,InternetFacilities
open-air bath,Open-AirBath
solarium,Solarium
backyard,Backyard
an open space on the property usually covered in grass,Backyard
dedicated workspace,DedicatedWorkspace
lake access,LakeAccess
outdoor shower,OutdoorShower
bathroom amenity,BathroomAmenity
dryer,Dryer
dryer – in building,Dryer
free dryer,Dryer
free dryer – in unit,Dryer
tumble dryer,Dryer
hair conditioner,HairConditioner
conditioner,HairConditioner
towel,Towel
essentials - towels,Towel
towels,Towel
bathtub,Bathtub
hot tub,Bathtub
toilet,Toilet
toilet with grab rails,ToiletWithGrabRails
raised toilet,RaisedToilet
higher level toilet,HigherLevelToilet
bath robes,BathRobes
faucet,Tap
tap,Tap
shower,ShowerBath
shower bath,ShowerBath
hygiene products,HygieneProducts
cleaning products,HygieneProducts
soap,Soap
body soap,BodySoap
gilchrist soames  body soap,BodySoap
shampoo,Shampoo
gilchrist soames  shampoo,Shampoo
shower gel,ShowerGel
washbasin,Sink
sink,Sink
lowered sink,LoweredSink
balance,Balance
bidet,Bidet
hairdryer,Hairdryer
hair dryer,Hairdryer
linen towel,LinenTowel
bath or shower,BathOrShower
bathroom emergency cord,BathroomEmergencyCord
emergency cord in bathroom,BathroomEmergencyCord
toilet paper,ToiletPaper
free toiletries,FreeToiletries
spa bath,SpaBath
spa tub,SpaBath
baby bath,BabyBath
hot water,HotWater
bathroom,Bathroom
bath,Bathroom
en suite bathroom,EnSuiteBathroom
private bathroom,PrivateBathroom
additional toilet,AdditionalToilet
additional bathroom,AdditionalToilet
shared toilet,SharedToilet
shared bathroom,SharedToilet
guest bathroom,GuestBathroom
service,Service
shoeshiner,ShoeShiner
shoeshine,ShoeShiner
fitness service,FitnessService
spa/wellness packages,FitnessService
aerobics,Aerobics
archery,Archery
horseback riding,HorsebackRiding
personal trainer,PersonalTrainer
massage,Massage
full body massage,FullBodyMassage
hand massage,HandMassage
neck massage,NeckMassage
head massage,HeadMassage
couples massage,CouplesMassage
back massage,BackMassage
massage chair,MassageChair
foot massage,FootMassage
foot bath,FootBath
fitness classes,FitnessClasses
yoga classes,YogaClasses
kids service,KidsService
service for kids,KidsService
kids' club,KidsClub
children television networks,ChildrenTelevisionNetworks
babysitting/child services,BabysittingChildServices
kid-friendly buffet,Kid-FriendlyBuffet
kid meals,KidMeals
hair care,HairCare
hair styling,HairStyling
hair treatments,HairTreatments
hair colouring,HairColouring
hair cut,HairCut
amusement service,AmusementService
live music,LiveMusic
live performance,LivePerformance
walking tours,WalkingTours
themed dinner nights,ThemedDinnerNights
movie nights,MovieNights
pub crawls,PubCrawls
bar crawls,PubCrawls
fishing,Fishing
bike tours,BikeTours
bingo,Bingo
happy hour,HappyHour
tour or class about local culture,TourOrClassAboutLocalCulture
canoeing,Canoeing
